pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
244327,Richard Basehart,1914,8,31,1984,9,17,70
61131,James Baskett,1904,2,16,1948,7,9,44
13697836,Russell Bassett,1845,10,24,1918,5,8,72
34127749,Granville Bates,1882,1,7,1940,7,8,58
2710772,David Bauer (actor),1917,3,6,1973,7,13,56
47366617,Jack Baxley,1884,7,4,1950,12,10,66
34280632,Alan Baxter (actor),1908,11,19,1976,5,7,67
142784,Warner Baxter,1889,3,29,1951,5,7,62
7735994,Scott Beach,1931,1,13,1996,2,13,65
2336246,John Beal (actor),1909,8,13,1997,4,26,87
3343999,Clyde Beatty,1903,6,10,1965,7,19,62
5059965,Clem Beauchamp,1898,8,26,1992,11,14,94
521313,William Beaudine,1892,1,15,1970,3,18,78
1374729,Hugh Beaumont,1909,2,16,1982,5,14,73
24533730,George Beban,1873,12,13,1928,10,5,54
9536820,Billy Beck,1920,5,26,2011,6,29,91
158661,Julian Beck,1925,5,31,1985,9,14,60
1328198,Thomas Beck (actor),1909,12,29,1995,9,23,85
13013324,Terry Becker,1921,8,5,2014,12,30,93
1226894,Scotty Beckett,1929,10,4,1968,5,10,38
2381165,Don Beddoe,1903,7,1,1991,1,19,87
1728807,Noah Beery Jr.,1913,8,10,1994,11,1,81
1728592,Noah Beery Sr.,1882,1,17,1946,4,1,64
142834,Wallace Beery,1885,4,1,1949,4,15,64
779475,Ed Begley,1901,3,25,1970,4,28,69
39216993,Stephen Bekassy,1907,2,10,1995,10,30,88
12836080,Hank Bell,1892,1,21,1950,2,4,58
48264019,Kay Bell,1914,10,14,1994,10,27,80
7798225,Rex Bell,1903,10,16,1962,7,4,58
29685199,Spencer Bell (actor),1887,9,25,1935,8,18,47
520975,Ralph Bellamy,1904,6,17,1991,11,29,87
9313763,Harry Bellaver,1905,2,12,1993,8,8,88
16384,John Belushi,1949,1,24,1982,3,5,33
847111,Robert Benchley,1889,9,15,1945,11,21,56
529315,William Bendix,1906,1,14,1964,12,14,58
46222573,Brooks Benedict,1896,2,6,1968,1,1,71
13448623,Kingsley Benedict,1878,11,4,1951,11,27,73
4511255,Paul Benedict,1938,9,17,2008,12,1,70
22216320,William &quot;Billy&quot; Benedict,1917,4,16,1999,11,25,82
7258367,Harry Benham,1884,2,26,1969,7,17,85
42809580,Ted Beniades,1922,11,17,2014,10,24,91
3884288,Manuel Benitez,1969,9,28,2008,12,23,39
2111874,Bruce Bennett,1906,5,19,2007,2,24,100
18446524,Charles Bennett (actor),1889,3,11,1943,2,15,53
11061702,Richard Bennett (actor),1870,5,21,1944,10,22,74
82587,Jack Benny,1894,2,14,1974,12,26,80
1414619,Lamont Bentley,1973,10,25,2005,1,19,31
715220,John Beradino,1917,5,1,1996,5,19,79
12819805,Oscar Beregi (actor born 1918),1918,5,12,1976,11,1,58
14775506,John Berg (actor),1949,4,5,2007,12,15,58
140875,Edgar Bergen,1903,2,16,1978,9,30,75
33546951,Herbert Berghof,1909,9,13,1990,11,5,81
2553788,Henry Bergman,1868,2,23,1946,10,22,78
46284,Milton Berle,1908,7,12,2002,3,27,93
2102175,Harry Bernard,1878,1,13,1940,11,4,62
3119000,Jason Bernard,1938,5,17,1996,10,16,58
20904321,Joseph Bernard (actor),1923,12,12,2006,4,3,82
3986671,Herschel Bernardi,1923,10,30,1986,5,9,62
3327664,Ben Bernie,1891,5,30,1943,10,23,52
5612793,Dehl Berti,1921,1,17,1991,11,26,70
938827,Ted Bessell,1939,3,20,1996,10,6,57
1412109,Joe Besser,1907,8,12,1988,3,1,80
1901912,James Best,1926,7,26,2015,4,6,88
8930109,Willie Best,1916,5,27,1962,2,27,45
4330581,Lyle Bettger,1915,2,13,2003,9,24,88
2812504,Carl Betz,1921,3,9,1978,1,18,56
14068048,Matthew Betz,1881,9,13,1938,1,26,56
15806995,Clem Bevans,1879,10,16,1963,8,11,83
1721155,Turhan Bey,1922,3,30,2012,9,30,90
6281800,Brian Bianchini,1978,7,16,2004,3,16,25
15788425,Abner Biberman,1909,4,1,1977,6,20,68
23372113,Robert Bice,1914,3,14,1968,1,8,53
1069442,Charles Bickford,1891,1,1,1967,11,9,76
2145383,Ramon Bieri,1929,6,16,2001,5,27,71
13502271,Chief John Big Tree,1877,7,2,1967,7,6,90
3427124,Dan Biggers,1931,1,18,2011,12,5,80
3186854,Lexie Bigham,1968,8,4,1995,12,17,27
492026,Theodore Bikel,1924,5,2,2015,7,21,91
44680770,Bill Patton (actor),1894,6,2,1951,12,12,57
37903619,George A. Billings,1870,11,22,1934,4,15,63
31735067,Patrick Billingsley,1925,5,3,2011,4,22,85
9510189,Pat Bilon,1947,8,29,1983,1,27,35
2676053,Edward Binns,1916,9,12,1990,12,4,74
11013617,Paul Birch (actor),1912,1,13,1969,5,24,57
1486022,Ed Bishop,1932,6,11,2005,6,8,72
607248,Joey Bishop,1918,2,3,2007,10,17,89
1525210,Whit Bissell,1909,10,25,1996,3,5,86
4969,Bill Bixby,1934,1,22,1993,11,21,59
24916527,Maurice Black,1891,1,14,1938,1,18,47
901856,Sidney Blackmer,1895,7,13,1973,10,6,78
4421940,Carlyle Blackwell,1884,1,20,1955,6,17,71
26426972,MaKee K. Blaisdell,1931,11,15,1988,2,21,56
47346944,John Bleifer,1901,7,26,1992,1,24,90
2025280,Billy Bletcher,1894,9,24,1979,1,5,84
4567880,Holbrook Blinn,1872,1,23,1928,6,24,56
20590309,Larry Block,1942,10,30,2012,10,7,69
853380,Dan Blocker,1928,12,10,1972,5,13,43
10329100,Michael Blodgett,1939,9,26,2007,11,14,68
29407027,John Bloom (actor),1944,2,19,1999,1,15,54
556523,Roberts Blossom,1924,3,25,2011,7,8,87
5634111,Monte Blue,1887,1,11,1963,2,18,76
43961970,Lennie Bluett,1919,1,21,2016,1,1,96
13861799,Augie Blunt,1929,8,17,1999,5,2,69
1341923,Larry Blyden,1925,6,23,1975,6,6,49
12727809,Stanley Blystone,1894,8,1,1956,7,16,61
2007335,Wally Boag,1920,9,13,2011,6,3,90
14968287,True Boardman,1882,4,21,1918,9,28,36
20802709,Jim Boeke,1938,9,11,2014,9,26,76
14045,Humphrey Bogart,1899,12,25,1957,1,14,57
16285934,Roman Bohnen,1901,11,24,1949,2,24,47
14396024,Eddie Boland,1883,12,27,1935,2,3,51
5928105,John Boles (actor),1895,10,28,1969,2,27,73
178250,Ray Bolger,1904,1,10,1987,1,15,83
48779162,Ivan Bonar,1924,10,31,1988,12,8,64
24576739,Rudy Bond,1912,10,10,1982,3,29,69
1227295,Tommy Bond,1926,9,16,2005,9,24,79
496688,Ward Bond,1903,4,9,1960,11,5,57
27655,Sonny Bono,1935,2,16,1998,1,5,62
29048279,Joe Bonomo (strongman),1901,12,25,1978,3,28,76
42406675,George Bookasta,1917,7,14,2014,3,26,96
302100,Sorrell Booke,1930,1,4,1994,2,11,64
24762792,Billy Booth (actor),1949,11,7,2006,12,31,57
33794617,Elmer Booth,1882,12,9,1915,6,16,32
13723278,Joe Bordeaux,1886,3,9,1950,9,10,64
44250154,Agostino Borgato,1871,6,30,1939,3,14,67
161436,Ernest Borgnine,1917,1,24,2012,7,8,95
654567,Frank Borzage,1894,4,23,1962,6,19,68
366257,Tom Bosley,1927,10,1,2010,10,19,83
12736759,Wade Boteler,1888,10,3,1943,5,7,54
2842054,Sam Bottoms,1955,10,17,2008,12,16,53
7138250,Willis Bouchey,1907,5,24,1977,8,26,70
3600569,Philip Bourneuf,1908,1,7,1979,3,23,71
46945458,Harry Bowen (actor),1888,10,4,1941,12,5,53
887344,Roger Bowen,1932,5,25,1996,2,16,63
23708223,George Bowers (filmmaker),1944,4,20,2012,8,18,68
5640516,John Bowers (actor),1885,12,25,1936,11,17,50
1373712,Lee Bowman,1914,12,28,1979,12,25,64
1237214,Jimmy Boyd,1939,1,9,2009,3,7,70
773932,William Boyd (actor),1895,6,5,1972,9,12,77
1353597,William Boyett,1927,1,3,2004,12,29,77
17979526,John Boylan (American actor),1912,1,31,1994,11,16,82
473723,Peter Boyle,1935,10,18,2006,12,12,71
13128975,Sidney Bracey,1877,12,18,1942,8,5,64
149731,Eddie Bracken,1915,2,7,2002,11,14,87
3532986,Richard Bradford (actor),1934,10,31,2016,3,22,81
44616299,Harry C. Bradley (actor),1869,4,15,1947,10,18,78
10472565,Booker Bradshaw,1940,5,21,2003,4,1,62
44588013,Ed Brady (actor),1889,12,6,1942,3,31,52
2342824,Scott Brady,1924,9,13,1985,4,16,60
50955418,William Bramley,1928,4,18,1985,10,27,57
84474,Neville Brand,1920,8,13,1992,4,16,71
17383985,Chet Brandenburg,1897,10,15,1974,7,17,76
373157,Jonathan Brandis,1976,4,13,2003,11,12,27
3194956,Christian Brando,1958,5,11,2008,1,26,49
19903,Marlon Brando,1924,4,3,2004,7,1,80
2086875,Henry Brandon (actor),1912,6,8,1990,2,15,77
5912705,X Brands,1927,7,24,2000,5,8,72
20699535,John Brascia,1932,5,11,2013,2,19,80
40246153,George Brasno,1911,12,23,1982,8,15,70
28026412,Keefe Brasselle,1923,2,7,1981,7,7,58
15278030,Tiny Brauer,1909,6,26,1990,3,19,80
3237219,Robert Bray,1917,10,23,1983,3,7,65
4476722,Egon Brecher,1880,6,18,1946,10,12,66
960224,Peter Breck,1929,3,13,2012,2,6,82
2287914,Bunny Breckinridge,1903,8,6,1996,11,5,93
14573958,Edmund Breese,1871,6,18,1936,4,6,64
6270848,El Brendel,1890,3,25,1964,4,9,74
477177,Walter Brennan,1894,7,25,1974,9,21,80
695875,George Brent,1904,3,15,1979,5,26,75
15544020,Lynton Brent,1897,8,2,1981,7,12,83
2565330,David Brian,1914,8,5,1993,7,15,78
6780529,Al Bridge,1891,2,26,1957,12,27,66
274519,Lloyd Bridges,1913,1,15,1998,3,10,85
4858437,Steve Bridges,1963,5,22,2012,3,3,48
9567134,Ed Brigadier,1949,10,16,2012,2,26,62
34404729,Donald Briggs,1911,1,28,1986,2,3,75
47520732,Harlan Briggs,1879,8,17,1952,1,26,72
3119904,Richard Bright (actor),1937,6,28,2006,2,18,68
44767026,Wilhelm von Brincken,1881,5,27,1946,1,18,64
11192988,Paul Brinegar,1917,12,19,1995,3,27,77
38469713,Chris Brinker,1970,12,17,2013,2,8,42
42283270,Ritch Brinkley,1944,3,18,2015,11,5,71
13504311,Charles Brinley,1880,11,15,1946,2,17,65
3827970,Peter Brocco,1903,1,16,1992,12,20,89
4344088,Don Brockett,1930,1,30,1995,5,2,65
3448598,Roy Brocksmith,1945,9,15,2001,12,16,56
5306949,James Broderick,1927,3,7,1982,11,1,55
11126012,Don Brodie,1904,5,29,2001,1,8,96
1794193,Steve Brodie (actor),1919,11,21,1992,1,9,72
