pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
2821498,Sig Ruman,1884,10,11,1967,2,14,82
43330404,Heinz Salfner,1877,12,31,1945,10,13,67
2569562,Otto Sander,1941,6,30,2013,9,12,72
40002427,Otto Sauter-Sarto,1884,4,29,1958,1,19,73
20016748,Franz Schafheitlin,1895,8,9,1980,2,6,84
40002498,Werner Scharf,1905,9,19,1945,4,30,39
49660121,Hans Hermann Schaufu,1893,7,13,1982,1,30,88
45421614,Clemens Scheitz,1899,9,2,1980,10,24,81
2795514,Bruno Schleinstein,1932,6,2,2010,8,11,78
36025559,Hans Adalbert Schlettow,1888,6,11,1945,4,30,56
28967465,Ludwig Schmid-Wildy,1896,5,3,1982,1,30,85
42871296,Ludwig Schmitz,1884,1,28,1954,6,28,70
6184892,Helmuth Schneider,1920,12,18,1972,3,17,51
8531160,Georg H. Schnell,1878,4,11,1951,3,31,72
23667505,Friedrich Schoenfelder,1916,10,17,2011,8,14,94
15418592,Robert Scholz,1886,4,23,1927,10,10,41
38487416,Erich Schonfelder,1885,4,23,1933,5,14,48
574944,Max Schreck,1879,9,6,1936,2,20,56
4511894,Ernst Schroder (actor),1915,1,27,1994,7,26,79
19948385,Carl-Heinz Schroth,1902,6,29,1989,7,19,87
31976821,Heinrich Schroth,1871,3,23,1945,1,14,73
26236845,Erik Schumann,1925,2,15,2007,2,9,81
20003223,Siegfried Schurenberg,1900,1,12,1993,8,31,93
36067051,Viktor Schwanneke,1880,2,8,1931,6,7,51
25907598,Hans Schweikart,1895,10,1,1975,12,1,80
18884130,Walter Sedlmayr,1926,1,6,1990,7,14,64
22675845,Gustav Adolf Semler,1885,3,14,1968,2,24,82
22591155,Willy Semmelrogge,1923,3,15,1984,4,10,61
14647410,Gustav von Seyffertitz,1862,8,4,1943,12,25,81
28874327,Josef Sieber,1900,4,28,1962,12,3,62
5103059,Gunther Simon,1925,5,11,1972,6,25,47
19988959,Hans Sohnker,1903,10,11,1981,4,20,77
13569926,Bert Sprotte,1870,12,9,1949,12,30,79
35881329,Ernst Stahl-Nachbaur,1886,5,13,1960,3,6,73
28806384,Herbert Stass,1919,10,7,1999,11,11,80
870212,Wolfgang Staudte,1906,10,9,1984,1,19,77
24311481,Albert Steinruck,1872,5,20,1929,2,10,56
40002594,Werner Stock,1903,10,20,1972,4,30,68
1684791,Werner Stocker (actor),1955,4,7,1993,5,27,38
8117399,Gunther Stoll,1924,8,18,1977,1,10,52
29206477,Peter Sturm,1909,8,24,1984,5,11,74
35798376,Hans Stuwe,1901,5,14,1976,5,13,74
1890582,Horst Tappert,1923,5,26,2008,12,13,85
23024713,Hilmar Thate,1931,4,17,2016,9,14,85
29592037,Ulrich Thein,1930,7,4,1995,6,21,64
47621798,Herbert Tiede,1915,3,3,1987,1,12,71
30641781,Jakob Tiedtke,1875,6,23,1960,6,30,85
21007640,Bobby Todd,1904,6,22,1980,9,7,76
25513431,Ludwig Trautmann,1885,11,22,1957,1,24,71
15328315,Otto Treler,1871,4,13,1965,4,27,94
9427228,Hans Heinrich von Twardowski,1898,5,5,1958,11,19,60
28889081,Friedrich Ulmer,1877,3,27,1952,4,26,75
21437857,Rudolf Ulrich,1922,3,1,1997,4,4,75
4093547,Karl Valentin,1882,6,4,1948,2,9,65
28444145,Frederick Valk,1895,6,10,1956,7,23,61
827777,Conrad Veidt,1893,1,22,1943,4,3,50
44626375,Gennadi Vengerov,1959,8,27,2015,4,22,55
20571030,Kurt Vespermann,1887,5,1,1957,7,13,70
41688425,Nikolas Vogel,1967,3,9,1991,6,28,24
20026582,Peter Vogel (actor),1937,3,22,1978,9,21,41
2686543,Karl Michael Vogler,1928,8,28,2009,6,9,80
7600436,Carl de Vogt,1885,9,14,1970,2,16,84
20003595,Alfred Vohrer,1914,12,29,1986,2,3,71
20039651,Kurt Waitzmann,1905,1,30,1985,5,21,80
39992935,Gustav Waldau,1871,2,27,1958,5,25,87
4832363,Gustav von Wangenheim,1895,2,18,1975,8,5,80
31081381,Lothar Warneke,1936,9,15,2005,6,5,68
39528678,Helmut Weiss,1907,1,25,1969,1,13,61
29207346,Siegfried Wei,1906,4,18,1989,10,8,83
40002700,Herbert Weibach,1901,11,12,1995,10,13,93
40004172,Heinz Wemper,1903,6,8,1985,5,15,81
40004199,Ewald Wenck,1891,12,28,1981,4,3,89
33953907,Fritz Wendhausen,1890,8,7,1962,1,5,71
18501853,Rolf Wenkhaus,1917,9,9,1942,1,31,24
49661562,Walter Werner,1883,4,11,1956,1,8,72
28826976,Paul Westermeier,1892,7,9,1972,10,17,80
6882046,Mathias Wieman,1902,6,23,1969,12,3,67
23699439,Siegfried Wischnewski,1922,4,15,1989,1,24,66
20016888,Harry Wustenhagen,1928,1,11,1999,12,11,71
8967734,Frederic Zelnik,1885,5,17,1950,11,29,65
49679125,Erich Ziegel,1876,8,26,1950,11,30,74
15278104,Ernst Ziegler,1894,4,16,1974,4,11,79
19713639,Wolfgang Zilzer,1901,1,20,1991,6,26,90
